output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.0051227798926401485,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.025,0.005332991924743434,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.05,0.005553785237431571,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.1,0.005843570308207107,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.15,0.0059840083402746,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.2,0.006110407125795285,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.25,0.006198967807240877,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.3,0.006314031156441116,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.35,0.006413144994656603,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.4,0.00651217209697705,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.45,0.006588931788447214,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.5,0.006675864039693816,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.55,0.00676372005442239,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.6,0.006851151577687618,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.65,0.006944264566461935,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.7,0.007033768475253206,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.75,0.007131166832610575,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.8,0.007230167529383361,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.85,0.007358038633520813,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.9,0.007552860773558263,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.95,0.00784361266011854,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.975,0.0080675308932257,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.99,0.008382038955426913,2025-12-27,wk inc covid prop ed visits,0,2025-12-27,01
quantile,0.01,0.004899754678700603,2025-12-27,wk inc covid prop ed visits,1,2026-01-03,01
quantile,0.025,0.0053638984324491205,2025-12-27,wk inc covid prop ed visits,1,2026-01-03,01
quantile,0.05,0.005749638149840735,2025-12-27,wk inc covid prop ed visits,1,2026-01-03,01
quantile,0.1,0.00631384678152379,2025-12-27,wk inc covid prop ed visits,1,2026-01-03,01
